Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
Andhra Pradesh,31-05-2019,Monthly,7.41,14375231,44.95,South
Andhra Pradesh,30-06-2019,Monthly,9.96,14330242,44.47,South
Andhra Pradesh,31-07-2019,Monthly,8.06,14313081,43.22,South
Andhra Pradesh,31-08-2019,Monthly,9.89,14400108,43.87,South
Andhra Pradesh,30-09-2019,Monthly,8.23,14322165,44.36,South
Andhra Pradesh,31-10-2019,Monthly,6.18,14327812,45.14,South
Andhra Pradesh,30-11-2019,Monthly,11.82,14378997,44.86,South
Andhra Pradesh,31-12-2019,Monthly,8.13,14329273,45.35,South
Andhra Pradesh,31-01-2020,Monthly,9.09,14327507,44.17,South
Andhra Pradesh,29-02-2020,Monthly,8.55,14332603,44.78,South
Andhra Pradesh,31-03-2020,Monthly,13.72,11599536,42.52,South
Andhra Pradesh,30-04-2020,Monthly,29.3,7776833,40.0,South
Andhra Pradesh,31-05-2020,Monthly,28.25,7682006,38.68,South
Andhra Pradesh,30-06-2020,Monthly,14.72,10596983,42.21,South
Andhra Pradesh,31-07-2020,Monthly,15.0,10514268,41.86,South
Andhra Pradesh,31-08-2020,Monthly,11.53,12849897,44.57,South
Andhra Pradesh,30-09-2020,Monthly,12.44,12858540,43.91,South
Andhra Pradesh,31-10-2020,Monthly,10.62,12745383,44.69,South
Assam,31-05-2019,Monthly,6.61,6110582,39.86,Northeast
Assam,30-06-2019,Monthly,6.84,6060851,39.52,Northeast
Assam,31-07-2019,Monthly,6.07,6119672,39.88,Northeast
Assam,31-08-2019,Monthly,7.51,5911782,40.4,Northeast
Assam,30-09-2019,Monthly,5.74,6027819,39.96,Northeast
Assam,31-10-2019,Monthly,3.25,6031786,40.12,Northeast
Assam,30-11-2019,Monthly,7.41,6016856,39.42,Northeast
Assam,31-12-2019,Monthly,5.03,6088540,40.1,Northeast
Assam,31-01-2020,Monthly,5.0,6068433,39.96,Northeast
Assam,29-02-2020,Monthly,6.8,6007667,39.71,Northeast
Assam,31-03-2020,Monthly,8.55,4800026,38.58,Northeast
Assam,30-04-2020,Monthly,18.35,3214495,34.26,Northeast
Assam,31-05-2020,Monthly,16.34,3193207,34.2,Northeast
Assam,30-06-2020,Monthly,9.74,4435149,37.89,Northeast
Assam,31-07-2020,Monthly,12.97,4451942,37.81,Northeast
Assam,31-08-2020,Monthly,7.24,5299391,39.14,Northeast
Assam,30-09-2020,Monthly,7.4,5518492,39.04,Northeast
Assam,31-10-2020,Monthly,7.69,5393594,38.45,Northeast
Bihar,31-05-2019,Monthly,13.93,5185375,43.58,East
Bihar,30-06-2019,Monthly,16.52,5216978,44.9,East
Bihar,31-07-2019,Monthly,13.8,5150563,43.77,East
Bihar,31-08-2019,Monthly,15.96,5232048,44.59,East
Bihar,30-09-2019,Monthly,14.87,5128441,44.46,East
Bihar,31-10-2019,Monthly,13.39,5173535,43.52,East
Bihar,30-11-2019,Monthly,15.6,5138671,43.83,East
Bihar,31-12-2019,Monthly,13.79,5128881,44.4,East
Bihar,31-01-2020,Monthly,16.11,5173040,44.88,East
Bihar,29-02-2020,Monthly,17.9,5130493,43.94,East
Bihar,31-03-2020,Monthly,22.04,4210115,43.35,East
Bihar,30-04-2020,Monthly,46.5,2768498,39.3,East
Bihar,31-05-2020,Monthly,47.81,2779986,38.67,East
Bihar,30-06-2020,Monthly,26.77,3836819,42.61,East
Bihar,31-07-2020,Monthly,29.11,3736626,41.36,East
Bihar,31-08-2020,Monthly,17.96,4633783,44.08,East
Bihar,30-09-2020,Monthly,19.82,4642311,42.8,East
Bihar,31-10-2020,Monthly,19.49,4526790,42.85,East
Chhattisgarh,31-05-2019,Monthly,7.77,14690496,40.72,Central
