Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ritz,2014,2.06,6.57,162762,Petrol,Individual,Manual,0
sx4,2015,3.95,9.65,138658,Diesel,Individual,Manual,0
ciaz,2019,4.93,11.64,60729,Diesel,Dealer,Manual,0
wagon r,2019,3.11,5.32,106336,CNG,Dealer,Manual,0
swift,2014,2.07,8.12,180918,Petrol,Dealer,Manual,0
vitara brezza,2011,3.22,13.98,137926,Diesel,Dealer,Manual,0
s cross,2021,6.12,10.55,53227,Diesel,Individual,Manual,0
alto 800,2022,2.99,3.71,57532,Petrol,Individual,Automatic,0
ertiga,2022,7.99,10.08,35629,Diesel,Dealer,Automatic,0
dzire,2015,3.55,8.47,110157,Petrol,Dealer,Manual,0
alto k10,2020,2.83,4.48,50488,Petrol,Dealer,Manual,0
ignis,2018,3.82,7.32,64016,Petrol,Individual,Automatic,0
i20,2019,3.35,8.65,71649,Petrol,Dealer,Manual,0
grand i10,2010,1.87,7.85,176103,Petrol,Individual,Manual,0
verna,2014,3.94,14.33,159882,Diesel,Dealer,Manual,0
creta,2014,6.02,17.31,131655,Diesel,Dealer,Automatic,0
elantra,2020,10.62,19.67,69452,Petrol,Dealer,Manual,0
city,2013,5.0,15.15,141122,Petrol,Dealer,Automatic,0
amaze,2017,4.36,8.57,74286,Diesel,Dealer,Manual,0
fortuner,2016,14.45,37.1,96091,Diesel,Dealer,Manual,0
innova,2010,5.61,27.87,148147,Diesel,Individual,Manual,0
corolla altis,2008,3.88,19.57,164854,Petrol,Dealer,Manual,0
etios liva,2008,1.6,7.57,271372,Diesel,Dealer,Manual,0
brio,2010,1.3,6.59,201206,Petrol,Dealer,Automatic,0
jazz,2011,2.88,9.99,118957,Petrol,Dealer,Manual,0
duster,2018,6.52,12.16,111442,Diesel,Individual,Manual,0
kwid,2020,2.74,4.59,87012,Petrol,Individual,Manual,0
polo,2011,1.93,10.61,220821,Petrol,Dealer,Automatic,0
vento,2019,7.61,12.2,93141,Diesel,Individual,Automatic,0
xuv500,2016,7.79,19.13,113210,Diesel,Dealer,Manual,1
ritz,2012,1.93,6.76,200917,Petrol,Dealer,Manual,0
sx4,2018,5.03,9.23,118323,Diesel,Dealer,Manual,0
ciaz,2010,2.99,13.3,240589,Petrol,Dealer,Manual,0
wagon r,2008,0.65,6.26,198935,Diesel,Dealer,Manual,0
swift,2008,1.88,8.87,206079,Petrol,Dealer,Manual,1
vitara brezza,2018,5.34,12.61,88149,Petrol,Dealer,Manual,0
s cross,2020,5.58,10.71,70548,Petrol,Dealer,Manual,1
alto 800,2012,1.51,4.3,163795,Diesel,Dealer,Manual,0
ertiga,2010,2.93,12.03,136511,Petrol,Individual,Automatic,0
dzire,2014,1.97,8.6,98602,Petrol,Dealer,Manual,0
alto k10,2013,0.73,4.97,130887,Petrol,Dealer,Manual,0
ignis,2015,2.72,7.65,140172,Petrol,Individual,Manual,0
i20,2014,2.49,9.31,149564,Petrol,Dealer,Manual,0
grand i10,2019,4.18,6.88,70603,Diesel,Dealer,Manual,0
verna,2020,5.9,13.11,55751,Petrol,Dealer,Manual,1
creta,2008,3.16,18.92,186240,Petrol,Dealer,Manual,1
elantra,2014,7.17,21.49,128049,Petrol,Dealer,Manual,0
city,2015,5.45,14.71,161142,Diesel,Individual,Manual,0
amaze,2014,2.84,8.96,89733,Petrol,Individual,Manual,0
fortuner,2019,17.35,35.49,53482,Petrol,Dealer,Manual,0
innova,2014,9.07,26.27,91394,Diesel,Dealer,Manual,0
corolla altis,2012,4.44,18.45,178690,Petrol,Dealer,Manual,0
etios liva,2018,2.75,6.53,110191,Petrol,Dealer,Manual,0
brio,2008,1.4,6.78,221879,Petrol,Dealer,Manual,0
jazz,2010,1.71,10.13,194910,Petrol,Dealer,Manual,0
duster,2011,3.67,13.48,190795,Diesel,Individual,Manual,0
kwid,2016,2.75,4.87,116729,Diesel,Individual,Automatic,0
polo,2015,3.27,10.0,158113,Diesel,Dealer,Manual,0
vento,2016,4.7,12.75,105170,Petrol,Individual,Manual,1
xuv500,2011,4.42,20.6,176202,Petrol,Dealer,Manual,0
ritz,2012,2.14,6.76,186487,Diesel,Dealer,Automatic,1
sx4,2018,5.7,9.23,67127,Diesel,Individual,Automatic,0
ciaz,2021,7.49,11.31,66255,Petrol,Individual,Manual,0
wagon r,2020,2.03,5.25,61289,Petrol,Individual,Manual,0
swift,2019,2.81,7.54,57168,Petrol,Individual,Manual,0
vitara brezza,2009,2.64,14.4,184818,Diesel,Individual,Manual,0
s cross,2010,3.13,12.41,187860,Petrol,Dealer,Manual,0
alto 800,2020,2.07,3.82,91406,Petrol,Dealer,Automatic,1
ertiga,2011,3.3,11.86,174017,Petrol,Dealer,Manual,0
dzire,2018,3.16,8.1,77764,Petrol,Dealer,Manual,0
alto k10,2017,1.68,4.68,77633,Petrol,Dealer,Manual,0
ignis,2022,4.06,6.9,47083,Petrol,Dealer,Manual,0
i20,2010,2.22,9.88,219901,Petrol,Dealer,Automatic,0
grand i10,2012,2.75,7.63,103777,Diesel,Dealer,Automatic,0
verna,2017,6.06,13.71,95349,Diesel,Dealer,Manual,0
creta,2012,4.5,17.83,212861,Diesel,Dealer,Manual,0
elantra,2010,4.67,22.8,147809,Petrol,Dealer,Manual,0
city,2009,3.12,16.07,171853,Petrol,Dealer,Manual,0
amaze,2009,0.6,9.64,236973,Diesel,Dealer,Manual,0
fortuner,2012,10.13,39.36,169051,Diesel,Individual,Manual,1
innova,2009,5.5,28.28,203073,Petrol,Dealer,Manual,0
corolla altis,2021,10.33,16.15,64517,Diesel,Individual,Manual,0
etios liva,2008,0.5,7.57,167218,Petrol,Dealer,Manual,0
brio,2022,4.37,5.52,36378,Petrol,Dealer,Manual,0
jazz,2011,2.95,9.99,150746,Diesel,Dealer,Automatic,0
duster,2009,2.22,13.88,161788,Petrol,Dealer,Manual,0
kwid,2021,2.97,4.52,51671,Petrol,Dealer,Manual,0
polo,2018,5.13,9.57,119579,Petrol,Individual,Manual,0
vento,2011,3.18,13.73,131759,Diesel,Dealer,Manual,0
xuv500,2018,8.96,18.57,74185,Diesel,Individual,Manual,0
ritz,2009,1.86,7.07,183634,Petrol,Dealer,Manual,0
sx4,2013,2.75,9.94,128918,Petrol,Dealer,Manual,0
ciaz,2016,3.33,12.17,113033,Petrol,Individual,Manual,0
wagon r,2012,2.1,5.9,140970,Diesel,Dealer,Manual,0
swift,2016,2.89,7.88,92687,Petrol,Dealer,Manual,0
vitara brezza,2018,6.49,12.61,113037,Diesel,Dealer,Manual,0
s cross,2009,1.8,12.6,197134,Petrol,Individual,Manual,1
alto 800,2011,1.37,4.37,135647,Diesel,Individual,Manual,0
ertiga,2022,6.45,10.08,46422,Petrol,Dealer,Manual,0
dzire,2015,2.85,8.47,149588,Petrol,Dealer,Manual,0
alto k10,2013,1.06,4.97,138508,Petrol,Individual,Manual,0
ignis,2008,0.76,8.48,236686,Petrol,Individual,Manual,0
i20,2019,4.54,8.65,59888,Petrol,Dealer,Manual,1
