TV,Radio,Newspaper,Sales
118.6,33.9,10.2,15.24
285.7,8.8,81.3,17.89
222.3,12.3,46.0,16.62
183.6,45.4,74.6,19.71
55.2,32.3,29.5,12.01
55.2,5.4,80.7,6.04
26.8,9.6,35.6,10.22
261.2,34.9,2.0,22.82
184.3,5.2,81.6,12.69
215.3,12.2,9.1,16.74
16.0,29.7,29.4,10.38
291.3,36.1,85.6,24.15
251.4,34.3,85.6,23.23
71.6,15.1,52.0,11.52
62.7,37.0,57.2,13.31
63.2,15.7,40.9,9.23
98.2,19.6,27.1,12.03
162.2,38.6,30.3,15.49
135.3,34.2,60.9,14.65
94.5,43.2,68.0,18.79
187.4,34.6,71.5,21.86
50.5,30.6,71.3,11.97
94.7,9.2,9.1,11.16
116.2,21.5,45.0,14.11
142.3,16.9,6.1,18.55
237.7,16.0,49.9,19.87
67.9,48.8,40.3,16.34
159.1,22.7,80.0,14.43
181.8,45.1,32.2,18.67
23.5,33.4,11.4,11.88
186.2,40.8,13.7,19.31
59.5,27.6,68.8,10.06
28.9,31.0,56.0,10.43
285.2,27.2,10.0,20.81
290.0,13.8,8.5,22.67
244.4,37.5,63.4,23.88
98.3,17.6,7.5,12.03
38.3,6.1,74.1,9.4
208.4,34.0,63.9,20.37
137.6,13.0,8.2,11.69
45.4,47.3,8.6,17.48
153.6,47.9,88.8,21.17
20.0,46.2,34.3,12.28
273.7,21.7,34.0,20.61
85.0,5.7,73.3,7.94
202.1,46.8,85.3,20.3
100.4,24.3,88.8,14.86
160.8,48.5,68.1,23.65
168.5,48.4,34.5,18.98
63.6,43.4,8.4,16.14
291.2,18.3,70.2,20.12
234.8,22.3,50.7,18.52
282.5,43.3,38.8,24.48
269.5,19.3,81.7,19.0
183.4,12.6,10.9,15.09
277.3,30.1,44.8,21.41
35.7,47.1,2.0,15.11
66.8,36.3,42.7,14.07
23.1,30.7,6.0,10.67
104.3,9.4,11.6,9.41
122.7,32.7,11.5,15.13
88.7,49.6,58.8,18.79
250.3,11.3,67.4,18.66
113.5,28.3,52.9,13.33
91.5,44.5,86.6,17.01
167.4,38.3,34.4,20.27
50.9,36.4,26.4,10.9
242.6,36.6,78.3,23.14
31.6,21.2,20.9,8.66
296.2,18.2,86.7,22.19
234.0,41.4,2.1,21.61
67.6,41.5,87.3,12.48
11.6,44.0,4.8,10.57
246.5,46.1,80.3,24.36
215.0,28.0,48.0,19.79
221.4,27.6,89.4,18.3
233.7,40.9,7.6,23.61
31.5,34.2,50.3,9.64
114.0,36.6,87.3,16.31
43.6,40.8,47.6,12.11
260.3,45.1,57.0,23.72
190.8,20.2,62.9,16.91
106.0,21.9,41.5,11.94
28.4,9.2,56.9,6.72
100.2,31.0,53.0,16.2
104.3,6.6,81.2,9.46
221.6,26.0,5.0,20.53
194.9,29.4,26.0,17.03
267.3,17.9,85.6,20.74
146.9,31.6,80.2,19.14
44.7,6.4,41.6,3.79
216.8,6.7,56.2,14.29
